,,length,width,area,"Measurements taken using a standardized grid, ImageJ, and hand tracing of seed edges, minimum of 50 seeds per crop",,,,
sorghum,max,4.95,N/A,18.033,,,,,
,min,3.061,N/A,7.919,,,,,
,avg,4.10525,N/A,13.28292,,,,,
canola,max,2.343,N/A,4.069,,,,,
,min,1.491,N/A,2.082,,,,,
,avg,1.95605,N/A,3.033533,,,,,
lima beans,max,17.9,15.2,176.341,,,,,
,min,11.78,9.2,80.346,,,,,
,avg,14.89312,11.7831,127.70542,,,,,
cotton,max,10,7.6,41.176,,,,,
,min,5.43,3.9,16.33,,,,,
,avg,7.77689,5.39232,27.60851,,,,,
,,,,,,,,,
Cotton Area,Cotton Width,Cotton Length,Lima Bean Area,Lima Bean Length,Lima Bean Width,Sorghum Area,Sorghum Diameter,Canola Area,Canola Diameter
16.333,4.917,6.826,80.346,12.081,9.282,7.919,4.092,3.565,1.491
17.103,4.624,5.945,90.466,12.744,10.313,9.635,4.12,2.909,1.562
18.094,4.991,5.431,91.991,13.038,9.208,9.793,4.149,2.955,1.562
18.821,3.963,7.119,93.749,11.933,11.418,10.13,4.149,3.081,1.633
19.538,4.55,6.826,94.156,12.965,10.534,10.606,4.177,3.791,1.633
19.608,4.11,6.972,94.579,11.786,10.46,10.94,4.177,3.333,1.633
19.683,5.505,6.239,95.154,12.081,10.828,11.019,4.206,3.106,1.704
20.427,4.037,7.927,101.714,12.965,11.197,11.119,4.206,4.069,1.704
20.696,5.578,5.798,105.502,14.143,10.165,11.284,4.206,3.585,1.704
20.992,4.844,6.165,108.66,14.438,10.018,11.473,4.206,2.118,1.704
21.073,5.211,6.092,109.669,12.596,12.523,11.532,4.235,2.985,1.775
21.165,5.138,6.239,109.93,13.112,11.786,11.586,4.235,2.591,1.775
21.628,5.431,5.945,112.404,13.996,10.976,11.72,4.263,2.082,1.775
21.73,4.183,7.413,114.417,14.659,10.46,11.887,4.263,3.086,1.775
22.414,4.624,7.486,116.018,13.038,12.375,11.986,4.263,2.274,1.775
22.808,5.725,6.165,116.229,13.849,11.786,12.159,4.292,4.069,1.775
23.244,4.257,7.486,117.163,13.112,12.228,12.159,4.292,3.67,1.775
23.729,4.257,7.78,117.233,13.849,11.565,12.258,4.32,2.581,1.775
